AL,40,0.175,0.1,0.0,0,0,0,0.281,0.469,0.3,0.15,0.2,A
AK,6,0.333,0.333,0.0,0,0,0,0.0,0.0,1.0,0.17,0.83,B
AZ,8,0.3,0.5,0.0,0,0,0,0.714,0.286,0.0,0.14,0.13,B
AR,14,0.429,0.071,0.0,0,0,0,0.455,0.182,0.364,0.07,0.21,A
CA,6,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0.5,A
CO,3,0.667,0.0,0.0,0,0,0,1.0,0.0,0.0,0.33,0.33,A
CT,5,0.2,0.2,0.0,0,0,0,0.6,0.4,0.0,0.5,0,A
DE,1,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0,0,B
FL,36,0.167,0.361,0.3,0,0,1,0.276,0.414,0.3,0.14,0.19,C
GA,37,0.297,0.108,0.0,0,0,0,0.552,0.276,0.172,0.33,0.22,B
HI,2,0.5,0.5,0.0,0,0,0,0.5,0.0,0.5,0,0,T
IL,5,0.4,0.2,0.0,0,0,0,0.3,0.5,0.3,0,0.2,A
IN,8,0.375,0.0,0.0,1,0,0,0.5,0.167,0.333,0,0.25,A
IA,12,0.0,1.0,0.0,0,1,0,0.222,0.778,0.0,0,0.25,B
KS,10,0.0,0.5,0.1,0,0,0,0.125,0.875,0.0,0.3,0.2,B
KT,4,0.0,0.8,0.0,0,0,0,1.0,0.0,0.0,0.25,0.75,B
LA,6,0.167,0.5,0.0,0,0,0,0.4,0.4,0.2,0.33,0.17,A
ME,1,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,T
MD,2,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0,0,C
MI,28,0.577,0.0,0.0,0,0,0,0.783,0.217,0.0,0.12,0.12,A
MN,2,0.0,0.0,0.0,0,0,0,0.0,0.5,0.5,0.5,0,B
MS,34,0.059,0.324,0.147,0,0,0,0.625,0.3,0.125,0.24,0.29,B
MO,22,0.0,0.545,0.0,0,0,0,0.0,0.909,0.091,0.14,0.5,B
MT,1,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,,0,A
NE,15,0.067,0.467,0.0,0,0,0,0.5,0.5,0.0,0.4,0.6,B
NV,3,0.0,1.0,0.0,0,0,0,0.0,0.333,0.667,0,0,B
NM,3,0.333,0.333,0.0,0,0,0,1.0,0.0,0.0,0,0.67,A
NY,7,0.857,0.0,0.0,0,0,0,0.8,0.0,0.3,0.14,0.43,B
NC,13,0.231,0.154,0.0,1,0,0,0.636,0.091,0.273,0.27,0.15,A
ND,4,0.8,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0.5,A
OH,6,0.0,0.5,0.0,0,0,0,0.0,1.0,0.0,0.33,0,B
OK,33,0.455,0.121,0.0,0,0,0,0.227,0.682,0.091,0.21,0.33,B
OR,10,0.4,0.1,0.0,0,0,0,0.8,0.0,0.3,0.11,0.6,A
PA,10,0.4,0.0,0.2,0,0,0,0.857,0.0,0.143,0.2,0.3,A
SC,14,0.286,0.357,0.0,0,0,0,0.667,0.3,0.083,0.15,0.14,A
SD,5,0.0,0.0,0.2,0,0,0,0.0,0.5,0.5,0.75,0.2,A
TN,23,0.217,0.609,0.043,0,1,0,0.316,0.632,0.053,0.13,0.17,B
TX,58,0.621,0.138,0.0,0,0,0,0.783,0.152,0.065,0.14,0.21,A
UT,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,C
VA,10,0.6,0.0,0.2,0,0,0,0.833,0.167,0.0,0.2,0.4,A
WA,4,0.0,0.5,0.0,0,0,0,0.5,0.5,0.0,0,0.5,B
WV,2,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,A
WI,6,0.5,0.0,0.0,0,0,0,0.8,0.2,0.0,0.67,0.17,A
AL,55,0.273,0.2,0.527,1,0,0,0.0,0.0,0.0,0,0,C
AK,5,0.0,0.6,0.4,0,0,0,0.0,0.0,0.0,0,0,B
AZ,8,0.0,0.125,0.875,0,0,0,0.0,0.0,0.0,0,0,C
AR,10,0.1,0.4,0.5,0,0,1,0.0,0.0,0.0,0,0,C
CA,4,0.0,0.8,0.3,0,0,0,0.0,0.0,0.0,0,0,B
CO,11,0.091,0.818,0.091,0,0,0,0.0,0.0,0.0,0,0,B
CT,13,0.154,0.692,0.154,0,0,0,0.0,0.0,0.0,0,0,B
DE,6,0.4,0.2,0.4,0,0,0,0.0,0.0,0.0,0,0,C
FL,110,0.209,0.5,0.282,0,0,0,0.0,0.0,0.0,0,0,B
GA,76,0.316,0.408,0.263,0,0,0,0.0,0.0,0.0,0,0,B
HI,5,0.0,0.833,0.167,0,0,0,0.0,0.0,0.0,0,0,B
IL,12,0.0,0.417,0.583,0,0,0,0.0,0.0,0.0,0,0,B
IN,23,0.304,0.304,0.348,0,0,0,0.0,0.0,0.0,0,0,A
